name,from,address,square_metre,price,type,rooms_amount,link
Nærhet til sentrum - fult møblert - Tv og Internett inkludert  - Kollektivtransport rett ved døren.,Privat,"Kringsjåveien 15, Bergen",130,5000,Rom i bofellesskap,8 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=307718669
Romslig sokkelleilighet med sentral beliggenhet,Hybel.no,"Grønnestølsbakken 26A, Bergen",66,14000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310584129
Ledige leiligheter og rom i kollektiv - Danmarksplass/Sandviken!,K2 PROSJEKTER ,Bergen,10,5500,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310583533
4 (5) roms leilighet sentralt i Bergen sentrum ved kinoen,K2 PROSJEKTER ,"SVERRES GATE 35, Bergen",60,18500,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310582978
Ledig rom i koselig kollektiv - kort vei til HVL og bybane - strøm og internett inkludert,Privat,"løbergstien 6, Bergen",125,6000,Rom i bofellesskap,7 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=219371673
MINDE - moderne kollektiv med 4 soverom,Privat,"FJØSANGERVEIEN 97 C, Bergen",10,5950,Rom i bofellesskap,4 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310576086
"AREFJORD/ BRATTHOLMEN   Flott enebolig med 5 soverom, Større terrasse og hage. Inkludert internett og parkering.",Utleiemegleren Bergen,"Nordre Arefjordsvegen 6, Brattholmen",153,18900,Enebolig,5 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310575812
Lita lys leilegheit sentralt på Kolltveit.,Privat,"Gangstøgarden 62, Kolltveit",30,7000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=214069997
Møblert leilighet med hage,Privat,"Harald Skjoldsveg 9A, Rådal",68,10500,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310547995
SENTRUM - Pen 2 roms leilighet,Privat,"SKIVEBAKKEN 13, Bergen",40,13500,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310564124
Unik U-etasje Leilighet med Fantastisk Utsikt – Til Leie,Privat,"Herman Grans vei 9, Laksevåg",42,10000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=303438798
KNARREVIK - Lekker leilighet med fantastisk sjøutsikt - 3 soverom/2 bad - dobbel garasje,Utleiemegleren Bergen,"Valaberget 35 B, Knarrevik",206,27000,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310560223
SENTRUM - Flott 2 roms leilighet,Privat,"SKIVEBAKKEN 13, Bergen",42,13000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310554969
SENTRUM - Flott 2 roms leilighet,Privat,"SKIVEBAKKEN 13, Bergen",45,14500,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310552462
Moderne og sentral 3- roms leilighet med solrik terrasse og garasjeplass,Privat,"NYHAUGVEIEN 4, Bergen",72,16800,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=172258098
SENTRUM - Flott 2 roms leilighet,Privat,"SKIVEBAKKEN 13, Bergen",42,14500,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310550540
KRONSTAD - Flott 2 roms leilighet - Ingen leie i sommermåneder,Privat,"Inger Bang Lunds Vei 11, Bergen",45,14700,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310548786
LAKSEVÅG - Fin 2-roms leilighet med sentral beliggenhet. Kjøpesenter og butikker i nærheten.,Utleiemegleren Bergen,"Kringsjåveien 11, Laksevåg",42,11500,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=304853561
Kjeller leilighet til leie på Vorland,Privat,"Møllarvegen 13, Skogsvåg",90,10000,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310044422
Kjellerleilighet til leie! 47kvm (pusset opp 2022). Strøm og internett inkludert!,Privat,"Nygårdsvikveien 47C, Laksevåg",47,11000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=246916201
Koselig og moderne leilighet ved NHH,Privat,"MOLDBAKKEN 37, Bergen",40,13500,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310528565
Ledig 2 roms leilighet møblert  til leie,Privat,"Flyen 37 b, Hjellestad",40,10000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=198933109
Fantastisk 3rom leilighet 104m2,Privat,"SLETTESTØLSVEGEN 38, Mjølkeråen",104,15000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310529874
1 Rom ledig for jente 1.august  2 bad./ 2 stuer. Knallfin leilighet steinkast fra NHH. Altan/ utsikt/ sol/ turterreng,Privat,"Søndre Øyjorden, Bergen",15,6900,Rom i bofellesskap,5 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=233040674
"Lys, fin og praktisk hybel 5 minutter gange fra NHH",Privat,"Jægerbakken 7C, Bergen",30,7250,Hybel,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=100960140
Lys og moderne hageleilighet til leie,Privat,"Glasskaråsen 64, Øvre Ervik",50,9500,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=293460709
Fullt møblert 2-roms til par eller enslig.,Privat,"Lien 39, Bergen",29,13000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=309978200
Rom sentralt i Fyllingsdalen,Privat,"Ortuflaten 62, Fyllingsdalen",8,6500,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=264578864
Nyoppusset 3-roms med nydelig utsikt og balkong.,Privat,"Grønnlien 63, Bergen",62,16000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310401939
"Lekker hjørneleilighet med 8,5 kvm vestvendt balkong. Gode solforhold og kort vei til butikk, sentrum, BI, UIB og HVL",Privat,"Damsgårdsveien 56, Bergen",58,20000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310503999
2-roms leilighet på Bønes til leie,Privat,"Tjørnhaugen 76, Bønes",64,13000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=226094401
Hybel til leie for skoleelev,Privat,"Orresteinen, Isdalstø",18,5800,Hybel,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=152465556
Koselig leilighet for 3 personer sentralt i Sandviken til leie,Privat,"Repslagergaten 2c, Bergen",75,18000,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=267414005
Nyoppusset fin 3-roms leilighet på Minde nær bybanestopp og mulighet for fast parkeringsplass,Privat,"Svaneviksveien 86, Bergen",60,15000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=111159130
Rom leies ut i leilighet,Privat,"Grønnestølsveien 20D, Bergen",65,7000,Rom i bofellesskap,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310483370
"Nydelig 3-roms leilighet i Bergens fineste gate, like ved UiB, BI & Studentsenteret! TV/Internett inkludert",Privat,"Parkveien 2A, Bergen",65,21000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=87418294
Koselig og lyst Hybel,Privat,"Søndre Skogveien 77, Bergen",28,9000,Hybel,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310477469
"Askøy Strusshamn, 3sov, solrikt, barnevennlig, nær skole, barnehage, kjøpesenter.",Privat,"SKARHOLMVEGEN 155B, Strusshamn",95,14200,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=309841962
Reservert - Hybelleilighet v/ Haraldsplass sykehus- alt inkludert,Privat,"Ulriksdal 27, Bergen",23,7750,Hybel,,https://www.finn.no/realestate/lettings/ad.html?finnkode=211965962
Hybel sentralt i  Knarvik,Privat,"Stallane 29, Isdalstø",20,5800,Hybel,,https://www.finn.no/realestate/lettings/ad.html?finnkode=309964881
Rom i kollektiv midt i Bergen Sentrum,Privat,"Klostergaten, Bergen",13,7500,Rom i bofellesskap,8 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=309777553
Hybel til leie for kvinnelig student,Privat,"Lerkerinden 57, Bergen",11,4800,Hybel,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=49203536
Nyoppusset kjellerleilighet på Øvre Kleppe,Privat,"Kjebergvegen 58, Kleppestø",65,12000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=273414770
Ledig rom i flott nymoderne kollektiv,Privat,"LØBERGSVEIEN 48, Bergen",11,6424,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=300978776
Leilighet til leie på Erdal.,Privat,Erdal,75,10000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310431258
Hageleilighet til leie i Alvermarka,Privat,"FURUMARKA 14, Alversund",65,10000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=137369804
Nyoppusset 3-roms sentralt på Danmarksplass m/god standard,Privat,"SØNDRE SKOGVEIEN 11, Bergen",55,13000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310455805
Møblert treroms toppleilighet med 2 garasjeplasser.,Privat,Tertnes,60,15000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=117396618
"2-roms leilighet i landlig omgivelse, 1 min gangavstand til busstopp, inkl parkeringsplass og fibernett",Privat,"Skagevegen, 54F, Blomsterdalen",47,9500,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310449622
3 roms ved Høyskolen i Bergen,Privat,"Hjelmsvei 1, Bergen",50,10500,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=160316218
Rom til leie.,Privat,"Hordagaten 18, Bergen",74,6000,Rom i bofellesskap,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=267879618
"Leilighet ved Haukeland og HIB, alt inkludert!",Privat,"GIMLEVEIEN 24 B, Bergen",10,6400,Rom i bofellesskap,5 soverom,
Flott bolig med flere leiligheter ledige fra 01.08 |Fiber inkludert | Delvis møblert | Mulighet for 3D visning,Privat,"Nygårdsgaten 60, Bergen",10,4500,Rom i bofellesskap,10 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310373140
Rom ledig i jentekollektiv!,Privat,"STORHAUGEN 15, Bergen",8,4900,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=223906642
Ledig rom i bofelleskap midt i Bergen sentrum i karakteristisk Bergenssmau. Nærhet til alt!,Privat,"KNØSESMAUET 3, Bergen",8,5590,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=236632844
* Rom til leie i nyoppussede leiligheter i Villa på Kalfaret!,Privat,"Kalfarveien 53, Bergen",10,6400,Rom i bofellesskap,5 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=302871695
Lys 3-roms leilighet med sentral beliggenhet på Nygård/Laksevåg. Parkering og stor felles hage,Privat,"LYDERHORNSVEIEN 18, Laksevåg",75,14000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=185499654
Leilighet med 3 store soverom til leie kun 50meter fra høgskole og bybane stopp på Minde.,Privat,"Svaneviksveien 3, Bergen",70,16800,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310431096
Sentral ny renovert 1-roms leilighet,Privat,"Åsteveitskogen, Tertnes",43,10000,Hybel,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310393748
MØHLENPRIS - Fin 5-roms leilighet på Møhlenpris. Sentral beliggenhet og fine overflater. Internett inkludert.,Utleiemegleren Bergen,"Professor Hansteens gate 83, Bergen",84,26000,Leilighet,4 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310439400
Kjellerleilighet sentralt i Åsane til leie.,Privat,"ÅSLIA 59, Ulset",50,7000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310430119
"Leilighet med panorama sjøutsikt, 2 min gange fra busstopp og Rema 1000",Privat,"Slettevikvegen 8, Morvik",83,20000,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=308184798
"Enebolig, 4-5 soverom til leie sentralt på  Minde, Nær buss/bybane tunell Fyllingdsdalen",Privat,"GRØNNESTØLSVEIEN 20, Bergen",150,25000,Enebolig,5 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310408155
3D Visning - Jentekollektiv og delte kollektiv Bergen Sentrum,Privat,"KONG OSCARS GATE 79, Bergen",15,5250,Rom i bofellesskap,5 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=266973316
3 stk nyoppussede leiligheter til leie i Sverre Hjetlands vei 1. Ledig 01.08. BILDER OPPDATERT!,Privat,"SVERRE HJETLANDS VEI 1, Laksevåg",35,10500,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310421049
