name,from,address,square_metre,price,type,rooms_amount,link
"Nyrenovert, møblert - 3 sov midt i sentrum",Tufte Eigendom AS,"NYGÅRDSGATEN 47, Bergen",60,21000,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=310952869
"Leilighet - 4 roms, Allégaten 15, Bergen",Hybel.no,"Allégaten 15, Bergen",65,15000,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=312029050
Soverom til leie i Leilighet - Sentralt i Bergen,Privat,"Kalfarveien 20, Bergen",8,7250,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=312013020
3D-visning | JENTEKOLLEKTIV i supersentralt bofellesskap i Sentrum | ledig fra 01.08,Privat,"Kong Oscars gate 79, Bergen",12,4990,Rom i bofellesskap,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=222802834
2-roms leilighet av god standard i hjertet av Bergen.,Privat,"Grønnevollen 16, Bergen",41,13200,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=225670191
Romslig 2-roms i sentrum. Tilgang til felles takterrasse og moderne høyhastighets bredbåndslinje.,Privat,"MOLLØESMAUET 3, Bergen",55,11500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311924735
Ledig rom i sentral leilighet,Hybel.no,"Daniel Hansens Gate 14, Bergen",8,7000,Rom i bofellesskap,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=307785903
Rom i leilighet til leie,Privat,Bergen,15,6150,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311899718
Fin 2-roms sentralt i Bergen.,Hybel.no,"Hans Tanks Gate 5, Bergen",40,14000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311890496
Moderne leilighet i sentrum,Privat,"Rosenbergsgaten 2, Bergen",40,13500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311883754
Rom til leie i sentrumskollektiv,Privat,"LILLE ØVREGATEN 19, Bergen",7,5200,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311876835
Stort rom ledig i koselig kollektiv,Hybel.no,"Rosenbergsgaten 36, Bergen",15,5500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311876825
Leilighet Vestre Torggate 12a ledig,Privat,"Vestre Torgate 12A, Bergen",35,13000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=93696623
3 Rom igjen. Gode priser. Bergen Sentrum. Studentkollektiv,Privat,"NYGÅRDSGATEN 62, Bergen",10,5590,Rom i bofellesskap,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=100558171
Ledige leiligheter og rom i kollektiv - Danmarksplass/Sandviken!,K2 PROSJEKTER ,Bergen,10,4950,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311801977
UIB/Sentrum - leilighet med 6 soverom til leie fra 01.08. |Fiber inkludert|Delvis møblert|3D/fysisk visning,Privat,"NYGÅRDSGATEN 66, Bergen",10,5500,Rom i bofellesskap,6,https://www.finn.no/realestate/lettings/ad.html?finnkode=311744466
3D-visning | Fibernett inkl. | Store rom i studentkollektiv | Seng og garderobe inkl.,Privat,"NYGÅRDSGATEN 35, Bergen",10,4990,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=279439498
3D-visning! | Få rom igjen i jentekollektiv i Sentrum!,Privat,"KONG OSCARS GATE 79, Bergen",10,4990,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=224772111
Romslige rom i kollektiv i Bergen sentrum! Inkl. bredbånd og hvitevarer,Hybel.no,"Hans Tanks Gate 5, Bergen",63,6450,Rom i bofellesskap,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=311733476
Leilighet med 5 soverom til leie i Bergen sentrum! Inkl. Bredbånd,Hybel.no,"Hans Tanks Gate 5, Bergen",63,31500,Leilighet,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=311733197
Ny og møblert i sentrum - Ingen husleie  fra 15.06 til 15.08 hvert år,Hybel.no,"Borgermester Platous Gate 7, Bergen",40,14900,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311724502
Møblert rom i fantastisk kollektiv med kun 3 rom - slipp husleie om sommeren,Privat,"NYGÅRDSGATEN 94, Bergen",10,8250,Rom i bofellesskap,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=311720112
Nyoppussede leiligheter i sentrum - Ingen husleie fra 15.06 til 15.08,Privat,"Borgermester Platous Gate 7, Bergen",40,14900,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=279486954
3D Visning: Jente/Deltekollektiv. Ledige rom da leietakere ikke har kommet inn på skole i Bergen,Privat,"Nygårdsgaten 66, Bergen",10,5790,Rom i bofellesskap,6,https://www.finn.no/realestate/lettings/ad.html?finnkode=126107445
