name,from,address,square_metre,price,type,rooms_amount,link
Grüner Village. Fully furnished & equipped. Top Floor w/view.,Privat,"Seilduksgata. Grüner Village, Oslo",52,23000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=109704962
"Leilighet i Oslo til leie i 3 mnd. Ink varme,tv,internett og varmtvann.",Privat,"NÅKKVES VEI 1, Oslo",66,18000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311232109
Rom ledig på Løren. Internet og strøm inkl. Bane#4 til Blindern og BI,Privat,"Børsteveien 17, Oslo",7,6900,Rom i bofellesskap,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=311921687
Koselig hybel i rolig område rett ved marka,Privat,"Sølve Solfengsvei 35, Oslo",19,8000,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=101347902
4 rom i bofellesskap i flott nyoppusset kollektiv,Privat,Oslo,8,7999,Rom i bofellesskap,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=311923394
2 roms kjellerleilighet 70 m2  til leie for kr 14.000 inkl. strøm og varmtvann. Ledig nå!,Privat,"Nedre Prinsdalsvei 115g, Oslo",65,14000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=169894024
Lys & luftig 2 roms i Homansbyen,Privat,"Hegdehaugsveien 5A, Oslo",38,13800,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311909627
"Lys, pen og møblert 2-roms med vestvendt balkong og supersentral beliggenhet",Privat,"Pilestredet Park 38, Oslo",34,19500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=311627333
"2 ledige rom i bofellesskap i fin 4-roms leilighet med balkong i  Vidars gate, Adamstuen. Varme og v.vann inkl. i leie.",Privat,"VIDARS GATE 10 B, Oslo",75,8700,Rom i bofellesskap,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=75403906
Leter etter noen å dele leiligheten med,Privat,"Inges gate 2, Oslo",10,9000,Rom i bofellesskap,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=311886323
Nydalen BI  2 roms til leie,Privat,"FERNANDA NISSENS GATE 3 a, Oslo",45,18300,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=89930631
"Nyere 3-roms leil fra 2018 på Løren. Inkl hvitevarer, v-vann, oppvarming, kabel-tv og bredbånd.",Privat,"Spireaveien 4 E, Oslo",57,20000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=311912992
Koselig 3-roms leilighet med attraktiv beligenhet i rolig nabolag. Fullt møblert. Korttidsleie,Privat,"Bentsegata 8, Oslo",62,25000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=306974433
